DogID,Toys,Chewing on off-limit items: On average over the last week how often did you observe your dog chewing off limit items,Score post toy,Post_Chewing on off-limit items_any_change,Score pre-toy:Pre-Has your pup cause damage to off limit items,Pre_Chewing on off-limit items_:how often did you observe your dog,Difference_c,Chewing on Toys: on average over the last week how often did you observe your dog doing this,Score post toy,Post_chewing_on_toys,Score pre-toy,Pre_chewing_on_toys,Difference_ctoys,Mouthing/Nipping on body parts,Score post-toy,Post_mouthing_body_parts,Score pre-toy,Pre_mouthing_body_parts,Difference_mouthing,Chewing on the toys provided ,Score post_c toy,"On average, over the past week have you noticed any changes in your dogs chewing on off-limit items",Has your pup cause damage to off limit items,Post: Please state your level of agreement with the following statements. - Chew toys help minimize any unwanted chewing on off-limit items,Post_Chewing_minimize_off,Pre : Please state your level of agreement with the following statements. - Chew toys help minimize any unwanted chewing on off-limit items,Pre_Chewing_minize_off,Post: Please state your level of agreement with the following statements. - My dog readily chews on the toys I provide them,Post_chew_on_toys,Pre: Please state your level of agreement with the following statements. - My dog readily chews on the toys I provide them,Pre_chew_on_toys,Post: Please state your level of agreement with the following statements. - My dogs chewing/nipping/mouthing behavior is a problem,Post_chew_p,Pre: Please state your level of agreement with the following statements. - My dogs chewing/nipping/mouthing behavior is a problem,Pre_chew_P,Is there any information you want to share about your dogs interaction with the toy provided? (max 500 characters),
Ligo,Toy 1,Very frequently (>3 times a day),5,1,4,1,1,Frequently (2-3 times a day),4,1,5,1,1,Very frequently (>3 times a day),5,1,4,1,1,Rarely (once total),1,No,Yes-minor,Agree,1,Strongly Agree,1,Neither Agree or Disagree,,Agree,1,Agree,1,Agree,1,,
Ladybird,Toy 2,Very frequently (>3 times a day),5,1,3,1,2,Very frequently (>3 times a day),5,1,4,1,1,Very frequently (>3 times a day),5,1,1,0,1,Regularly (once a day),3,No,Yes-minor,Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Disagree,0,Neither Agree or Disagree,,She liked the toy and actively got it on her own.,
Huck,Toy 2,Never,0,0,0,0,0,Very frequently (>3 times a day),5,1,4,1,1,Regularly (once a day),3,1,5,1,2,Frequently (2-3 times a day),4,No,No,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Agree,1,Agree,1,Agree,1,,
Rohn,Toy 2,Frequently (2-3 times a day),4,1,4,1,0,Very frequently (>3 times a day),5,1,5,1,0,Regularly (once a day),3,1,3,1,0,Rarely (once total),1,No,Yes-major,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Agree,1,Agree,1,,
Ollie,Toy 1,Rarely (once total),1,0,2,0,1,Regularly (once a day),3,1,3,1,0,Rarely (once total),1,0,1,0,0,Occasionally (2-3 times total),2,Yes - less chewing,Yes-minor,Agree,1,Agree,1,Agree,1,Neither Agree or Disagree,,Disagree,0,Disagree,0,Interracted with it some on his own and would chew on it/fling his head to throw it for himself.,
Sedrick,Toy 2,Rarely (once total),1,0,2,0,1,Very frequently (>3 times a day),5,1,5,1,0,Regularly (once a day),3,1,5,1,2,Frequently (2-3 times a day),4,Yes - less chewing,Yes-minor,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Agree,1,Agree,1,Strongly Agree,1,"Lays down in bed and just goes to town, still prefers his other chew toys but he does mouth on the one provided.",
Ace,Toy 1,Occasionally (2-3 times total),2,0,2,0,0,Very frequently (>3 times a day),5,1,4,1,1,Occasionally (2-3 times total),2,0,2,0,0,Very frequently (>3 times a day),5,Yes - less chewing,Yes-minor,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Neither Agree or Disagree,,Neither Agree or Disagree,,He will actively seek out the toy to play with. He took it to his bed and would cuddle on the sofa with it.  He would bring it to us to throw for him. ,Ace loves the toy. We would put it somewhere he had to find his toys and he always found it brought it to us to throw. I put it in his toy box and he would dig it out. We offered it to him when he had something off limits. He would take the toy. He was not aggressive with it.
Bailey,Toy 2,Occasionally (2-3 times total),2,0,3,1,1,Very frequently (>3 times a day),5,1,5,1,0,Very frequently (>3 times a day),5,1,5,1,0,Never,0,No,Yes-minor,Strongly Agree,1,Strongly Agree,1,Agree,1,Strongly Agree,1,Agree,1,Agree,1,never touched the toy ,
Dixie,Toy 1,Rarely (once total),1,0,3,1,2,Frequently (2-3 times a day),4,1,5,1,1,Occasionally (2-3 times total),2,0,0,0,2,Very frequently (>3 times a day),5,Yes - less chewing,Yes-minor,Agree,1,Agree,1,Agree,1,Disagree,0,Agree,1,Neither Agree or Disagree,,,
Gio,Toy 2,Rarely (once total),1,0,3,1,2,Very frequently (>3 times a day),5,1,5,1,0,Regularly (once a day),3,1,1,0,2,Occasionally (2-3 times total),2,Yes - less chewing,Yes-major,Agree,1,Agree,1,Agree,1,Strongly Agree,1,Agree,1,Strongly Agree,1,,
Jax,Toy 1,Rarely (once total),1,0,1,0,0,Very frequently (>3 times a day),5,1,4,1,1,Occasionally (2-3 times total),2,0,3,1,1,Very frequently (>3 times a day),5,Yes - less chewing,No,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Agree,1,Agree,1,Jax loves the kong bone- he will dig in his toy box until he finds it ,"I believe if you limit the puppy’s opportunities to chew things he shouldn’t & provide him with chew toys, you both will be happier :)"
Lulu Kachoo Delcambre,Toy 1,Rarely (once total),1,0,1,0,0,Frequently (2-3 times a day),4,1,2,0,2,Very frequently (>3 times a day),5,1,5,1,0,Rarely (once total),1,No,No,Agree,1,Strongly Agree,1,Agree,1,Strongly Agree,1,Disagree,0,Disagree,0,I think it was too small for her and she did not seem to want it very often. Play is more social for her she likes to play with the other dogs. I was a little afraid to leave it in the cage with her because she is so big I was afraid she might choke on it. I played with her and the toy so i could supervise. ,"she would nose the toy around, but she did not interact with it very much, again I think it was too small for her. "
Mayzie,Toy 2,Rarely (once total),1,0,2,0,1,Very frequently (>3 times a day),5,1,5,1,0,Never,0,0,4,1,4,Very frequently (>3 times a day),4,No,Yes - minor damage,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Agree,1,Strongly Disagree,0,Disagree,0,Mayzie loves the toy that was provided. She would often choose that toy over some other ones that we had bought previously. ,This was a great opportunity and I am so glad we were able to participate.
Cookie,Toy 1,Regularly (once a day),3,1,3,1,0,Very frequently (>3 times a day),5,1,5,1,0,Regularly (once a day),3,1,4,1,1,Frequently (2-3 times a day),3,Yes - less chewing,Yes - minor damage,Agree,1,Agree,1,Agree,1,Agree,1,Agree,1,Agree,1,"Cookie found the soft rubber toy better to chew than the harder chew ""bones"" we have.  She is losing her baby teeth and this bone seems to have the good feel for chewing now.",Cookie was pretty shy at the observation room - too distracted.  Watching her interact with the toy at home where she could choose it from other toys.  It did not stop her other chewing behavior much.  She likes to explore objects with her mouth and teeth.
Natasha Romanoff ,Toy 1,Occasionally (2-3 times total),2,0,2,0,0,Frequently (2-3 times a day),4,1,3,1,1,Never,0,0,0,0,0,Regularly (once a day),2,No,Yes - minor damage,Neither Agree or Disagree,,Neither Agree or Disagree,,Neither Agree or Disagree,,Agree,1,Agree,1,Agree,1,"If her siblings touched the toy she went and took it to play with it. She also like sharing it, they walked together with it in both mouths. ",It was a neat study to see how Natasha interacted she is competitive like we see at home.  
Chicken,Toy 2,Rarely (once total),1,0,1,0,0,Very frequently (>3 times a day),5,1,5,1,0,Occasionally (2-3 times total),2,0,4,1,2,Very frequently (>3 times a day),5,Yes - less chewing,Yes - minor damage,Agree,1,Strongly Agree,1,Agree,1,Agree,1,Disagree,0,Neither Agree or Disagree,,Chicken has a box of toys at home but since we brought home the squeaky bone that’s all he’s played with.,
Opal,Toy 2,Occasionally (2-3 times total),2,0,1,0,1,Very frequently (>3 times a day),5,1,5,1,0,Rarely (once total),1,0,1,0,0,Regularly (once a day),3,Yes - less chewing,No,Agree,1,Agree,1,Strongly Agree,1,Strongly Agree,1,Neither Agree or Disagree,,Disagree,0,"I have two dogs, one who is 5 months and one who is 6 years old. They both would choose the toy provided over there usual rope/leather toys. They have almost 10 toys around the house and they both would play with the provided toy more. ",She will take this toy to bed. We would usually just give her a toy in her bed but she would actually grab the toy and go to bed when it was night time. Really neat toy and I plan to look into them. 
