,Behaviors,DogID,Toy,Total.number,seconds,Age
1,Chewing,Ace,Toy 1,21,172.64,9
2,Chewing,Ace,Toy 2,13,69.1,9
3,Chewing,Bailey,Toy 1,15,148.25,5
4,Chewing,Bailey,Toy 2,13,120.19,5
5,Chewing,Bandit,Toy 1,22,92.46,4
6,Chewing,Bandit,Toy 2,22,143.14,4
7,Chewing,Baquita,Toy 1,0,0,5
8,Chewing,Baquita,Toy 2,0,0,5
9,Chewing,Broly,Toy 1,17,66.73,7
10,Chewing,Broly,Toy 2,23,77.94,7
11,Chewing,Chicken,Toy 1,14,76.78,8
12,Chewing,Chicken,Toy 2,10,267.97,8
13,Chewing,Cookie,Toy 1,1,4.14,4
14,Chewing,Cookie,Toy 2,2,17.28,4
15,Chewing,Dixie,Toy 1,12,60.86,9
16,Chewing,Dixie,Toy 2,6,79.71,9
17,Chewing,Gio,Toy 1,21,206.94,7
18,Chewing,Gio,Toy 2,18,223.76,7
19,Chewing,Huck,Toy 1,20,264.95,4
20,Chewing,Huck,Toy 2,9,246.65,4
21,Chewing,Izzy,Toy 1,0,0,6
22,Chewing,Izzy,Toy 2,5,45.65,6
23,Chewing,Jax,Toy 1,20,57.49,4
24,Chewing,Jax,Toy 2,21,56.23,4
25,Chewing,Ladybird,Toy 1,13,217.38,9
26,Chewing,Ladybird,Toy 2,15,211.71,9
27,Chewing,Ligo,Toy 1,23,45.15,4
28,Chewing,Ligo,Toy 2,11,34.83,4
29,Chewing,Lucy,Toy 1,27,153.85,5
30,Chewing,Lucy,Toy 2,23,170.8,5
31,Chewing,Lulu,Toy 1,0,0,9
32,Chewing,Lulu,Toy 2,0,0,9
33,Chewing,Mayzie,Toy 1,5,22.62,9
34,Chewing,Mayzie,Toy 2,17,167.07,9
35,Chewing,Milo,Toy 1,1,1.23,4
36,Chewing,Milo,Toy 2,3,4.17,4
37,Chewing,Nakia,Toy 1,0,0,6
38,Chewing,Nakia,Toy 2,1,0.7,6
39,Chewing,Natasha,Toy 1,0,0,8
40,Chewing,Natasha,Toy 2,2,2.6,8
41,Chewing,Ollie,Toy 1,15,50.42,9
42,Chewing,Ollie,Toy 2,11,60.33,9
43,Chewing,Opal,Toy 1,1,1.4,5
44,Chewing,Opal,Toy 2,0,0,5
45,Chewing,Ranger,Toy 1,24,175.47,10
46,Chewing,Ranger,Toy 2,9,275.44,10
47,Chewing,Remy,Toy 1,0,0,4
48,Chewing,Remy,Toy 2,0,0,4
49,Chewing,Rohn,Toy 1,20,179.41,8
50,Chewing,Rohn,Toy 2,8,275.81,8
51,Chewing,Sedrick,Toy 1,22,141.74,4
